script,style,weight,family,subfamily,variant,format,file,source,source_folders,duplicate_count,sha256
03-Mixed,06-General,06-Bold,FarhangFaNum,ExtraBoldSharp,02-Static,03-WOFF,03-Mixed\06-General\06-Bold\FarhangFaNum\02-Static\03-WOFF\FarhangFaNum-ExtraBoldSharp [v2].woff,Iranfont\Farhang-2-Pro\Farhang-2-Pro\Old Version (not supported)\FaNum\Farhang Sharp\Webfonts\fonts\woff\FarhangFaNum-ExtraBoldSharp.woff,Iranfont,0,f62f83466b6e8e549fd09317603f3c1f84d41961a228f9e476abd7a36456c24f
04-Latin,06-General,03-Regular,Disco Deck Chrome,Regular,02-Static,01-TrueType,04-Latin\06-General\03-Regular\Disco Deck Chrome\02-Static\01-TrueType\discodeckchrome.ttf,+Mixed Fonts\Disco Deck\discodeckchrome.ttf,+Mixed Fonts,0,f6312c839f177d49d54b5837b7e4f13f00cfce2aee35fd4fb0982c192c46898e
03-Mixed,06-General,09-Other,Kahroba-FD-HC,EB-HC,02-Static,01-TrueType,03-Mixed\06-General\09-Other\Kahroba-FD-HC\02-Static\01-TrueType\Kahroba-FD-EB-HC.ttf,Iranfont\Kahroba-Pro\180-Kahroba-v1.0-Pro\180-Kahroba-v1.0-Pro\Statics\ttf(desktop)\FD(FarsiDigits)\Kahroba-FD-EB-HC.ttf,Iranfont,0,f6344dcc9ed3414ecd7077a97ff70fb7eae4493900c052705d021d2c77ecb72c
03-Mixed,06-General,08-Black,Kalameh,Black,02-Static,01-TrueType,03-Mixed\06-General\08-Black\Kalameh\02-Static\01-TrueType\Kalameh-Black.ttf,Fonts\Kalameh Pro\Source 1 V4.0\Kalameh-Black.ttf,Fonts | Iranfont | NEW,4,f6373472d8cbfe9b0acbe2de5d7d9647c2d6cc95d7ac5568c741b7042263e5c3
03-Mixed,06-General,06-Bold,Veno,Bold,02-Static,01-TrueType,03-Mixed\06-General\06-Bold\Veno\02-Static\01-TrueType\Veno-Bold [v2].ttf,Iranfont\Veno Pro __fontiranir_\Veno - Pro\Font Family\Veno-Bold.ttf,Iranfont,0,f637cbef381cf1a0d66706650e1e60e9dd11785c51cc64f835f03a29b53d9f0e
01-Persian-Arabic,06-General,09-Other,Kahroba-OA-LC,SB-LC-SE,02-Static,04-WOFF2,01-Persian-Arabic\06-General\09-Other\Kahroba-OA-LC\02-Static\04-WOFF2\Kahroba-OA SB-LC-SE.woff2,Iranfont\Kahroba-Pro\180-Kahroba-v1.0-Pro\180-Kahroba-v1.0-Pro\Statics\woff2(web)\OA(OnlyArabic)\Kahroba-OA SB-LC-SE.woff2,Iranfont,0,f639003af5b5e8dc17f58a863870fd50a49b6a56c25865c893fc77234c16c077
03-Mixed,06-General,08-Black,Yekan Bakh NoEn,Black SemiCondensed,02-Static,04-WOFF2,03-Mixed\06-General\08-Black\Yekan Bakh NoEn\02-Static\04-WOFF2\YekanBakhNoEn-BlackSemiCondensed.woff2,Iranfont\YekanBakh 3 ProPlus __fontiranir_\YekanBakh 3 ProPlus [@fontiranir]\Yekan Bakh NoEn\webfonts\woff2\YekanBakhNoEn-BlackSemiCondensed.woff2,Iranfont,0,f642261be724ea1e2a3427325f5c9ab165fb02784a1a6a4bd42f683b56293200
03-Mixed,06-General,05-SemiBold,Yekan Bakh NoEn,SemiBold Expanded,02-Static,04-WOFF2,03-Mixed\06-General\05-SemiBold\Yekan Bakh NoEn\02-Static\04-WOFF2\YekanBakhNoEn-SemiBoldExpanded.woff2,Iranfont\YekanBakh 3 ProPlus __fontiranir_\YekanBakh 3 ProPlus [@fontiranir]\Yekan Bakh NoEn\webfonts\woff2\YekanBakhNoEn-SemiBoldExpanded.woff2,Iranfont,0,f642490ba029c4081ac799f5cfc44380bee3ddc095fb236df31c0314c06056db
04-Latin,04-Monospace,03-Regular,Codec Cold Logo,Regular,02-Static,01-TrueType,04-Latin\04-Monospace\03-Regular\Codec Cold Logo\02-Static\01-TrueType\CodecColdLogo-Regular.ttf,English\CodecColdLogo-Regular.ttf,English,0,f648a3ccfa298f5db57dd4d21c09d7e540f1e6aafdf85021047dbefc277a565d
03-Mixed,01-Sans-Modern,04-Medium,IRANSansWeb(FaNum),Medium,02-Static,01-TrueType,03-Mixed\01-Sans-Modern\04-Medium\IRANSansWeb(FaNum)\02-Static\01-TrueType\IRANSansWeb(FaNum)_Medium [v2].ttf,+Unsorted\IRANSans4\IRANSans4\Farsi_numerals_(Non Standard)\webFonts\fonts\ttf\IRANSansWeb(FaNum)_Medium.ttf,+Unsorted | Fonts,1,f64b25f2dedb3087afff9cafe63ef1f53ac93dc0d54a485c4b8368968508d547
