family,file,source,sha256,duplicate_count
azarmehr-fd,azarmehr-fd\700-AzarMehr-FD-Bold.woff2,_downloads\azarmehr-fd\700-AzarMehr-FD-Bold.woff2,fa10440e537e6e5117fbc545fafdaf3dbcfd3609aa2daa1db0197485140f4e77,3
iransansweb-fanum,iransansweb-fanum\IRANSansWeb(FaNum)_Bold.woff2,_downloads\iransansweb-fanum\IRANSansWeb(FaNum)_Bold.woff2,fa176d47f7d777700b3d87ed9717355da564f24ec757dc14f2a58d8de639c84a,1
dana-noen,dana-noen\dana-noen-extralightitalic.woff,_downloads\dana-noen\dana-noen-extralightitalic.woff,fa202702c263fc9d7f07cb36671c1295c1480406a73f9ad198ee2fd847af458d,2
Sultan Normal,Sultan Normal\Shablon_MRT.ttf,384.Font.Farsi\Shablon_MRT.ttf,fa21259afbd8d1bf3130c5d17b37e1dd1383eb3533ccca36dbe4f17fcbeffc42,0
rokhfanum,rokhfanum\RokhFaNum-Normal.woff2,_downloads\rokhfanum\RokhFaNum-Normal.woff2,fa291010bab7fefb91ce55c5ff5b8b0c69967648dc36f2b18ed279bc75fe6c90,2
IPT Koodak,IPT Koodak\IKoodkBd.ttf,500.Font.Collection\IKoodkBd.ttf,fa2b03769832693306d2cb9def5fd0a05706784d2af1380d93968a68dd043e32,0
03- Eot,03- Eot\Anjoman-NoEn-UltraBoldItalic.eot,Fonts\Anjoman_Pro\03 - Anjoman Non English\03- Eot\Anjoman-NoEn-UltraBoldItalic.eot,fa2fabfa709315bb6de41763e9727bb42e98520cf8d14c101f4c92f19f5cbbf6,1
Digi Mahtab Bold,Digi Mahtab Bold\Digi Mahtab Bold.ttf,Fonts\Digi Mahtab Bold\Digi Mahtab Bold.ttf,fa3538ff85d782f2874f804d35ae846d00cfe9dfce9f66a6f94509781dcb19ba,0
woff2,woff2\Pinar-DS2-Black.woff2,Fonts\Pinar Pro\Statics\woff2\Pinar-DS2-Black.woff2,fa3a46097a0c3dd9b34f79770fa22a49ccfcf62dd83fb0b9ccc6d3bba083896e,1
B Titr,B Titr\BTitrBd [v2].ttf,500.Font.Collection\BTitrBd.ttf,fa3c85a89e94d85d2027af98b8e587a247e625a2a9eecd4b69a5c49f141cb874,0
Balvardi Dastnevis Free,Balvardi Dastnevis Free\Balvardi 2.otf,+Unsorted\VIP FONT-@Apkclub\VIP FONT\VIP FONT\بلوردی\Balvardi 2.otf,fa414a007c83361c562f09335b5591c236dabcd992fb66d70f00862c2a8fd2fc,2
dana,dana\Dana-DemiBold.woff,_downloads\dana\Dana-DemiBold.woff,fa427dcf3c45e05c619ace38cfb1c065111780ae03b24a1b7d7acffd2bd42a1c,1
morabba,morabba\Morabba-ExtraBold.woff,_downloads\morabba\Morabba-ExtraBold.woff,fa43fbbd62d3eb6ef73f8e19f91d4bdf85257d6df47acd7045757f2474f63dea,2
Irancell,Irancell\ایرانسل .ttf,+Unsorted\VIP FONT-@Apkclub\VIP FONT\VIP FONT\ایرانسل\ایرانسل .ttf,fa57bdcf7f17861d4b2c9238b86be0878aff96bc69b6751af1452b8692fe88e5,1
Spirit Of Doha,Spirit Of Doha\ASpiritOfDohaMedium (@FONTBARTAR).ttf,+Mixed Fonts\دوحه\ASpiritOfDohaMedium (@FONTBARTAR).ttf,fa57bf32953010c83627fdfd311875efa91f1fa08d7582f675a73b8162db68bf,0
