script,family,variant,format,file,source,sha256
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-CondensedSuperHeavyItalic.woff,Organized\01- Woff\Anjoman-FaNum-CondensedSuperHeavyItalic.woff,c459fe7c2cc49d9949cbcbe4f87d0abaca21fc6331e754f72ce9e2ea565156c7
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-CondensedUltraBold.woff,Organized\01- Woff\Anjoman-FaNum-CondensedUltraBold.woff,3bc0cec902c4bbf803545af94c2e1d023e30315c9f44ce4e8af81e19e123aa55
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-CondensedUltraBoldItalic.woff,Organized\01- Woff\Anjoman-FaNum-CondensedUltraBoldItalic.woff,bd74f19638651d4005a0f405f9402ec1d8bb838c99575ef43ed1a75fb3e81d0e
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-ExtraBold.woff,Organized\01- Woff\Anjoman-FaNum-ExtraBold.woff,c5c5e38d5444a77263e3d321674eed62bfca8d1f6a287dcaa56d28ff6b6554d4
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-ExtraBoldItalic.woff,Organized\01- Woff\Anjoman-FaNum-ExtraBoldItalic.woff,8a9d0df9c398433ea7373d816735576b6ae719516d5c86335a13bbcf2ff04675
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-ExtraLightItalic.woff,Organized\01- Woff\Anjoman-FaNum-ExtraLightItalic.woff,506f3d89e0b0b86e70af693768792b7725836f64ce68fe3c85ca269e086e4dac
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-Italic.woff,Organized\01- Woff\Anjoman-FaNum-Italic.woff,d270180309e21404634938fd2014991775763e4a9441635a8ee4c78c0e3327f4
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-SuperHeavy.woff,Organized\01- Woff\Anjoman-FaNum-SuperHeavy.woff,95ee17f996ed05da869a43cff64fed52098aa23ab6d6485f626f9f7f46956453
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-SuperHeavyItalic.woff,Organized\01- Woff\Anjoman-FaNum-SuperHeavyItalic.woff,c1189457f648873f87d1ef7681ac77af2a96bd59fb2cbf9f337368c81587f25b
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-Thin.woff,Organized\01- Woff\Anjoman-FaNum-Thin.woff,4ba0c132be4843c144a58a2dbd423185902a6a88b4d3b37150cb62d5d06d1872
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-ThinItalic.woff,Organized\01- Woff\Anjoman-FaNum-ThinItalic.woff,a30632cd76605c7a1345b7358724c330ebf505c5ca4f3fb773b26a58c7297d75
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-UltraBold.woff,Organized\01- Woff\Anjoman-FaNum-UltraBold.woff,8f8fee412a6b028607942ee1b98aeb724873ad6776d9628be9bcae7f764b176a
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-UltraBoldItalic.woff,Organized\01- Woff\Anjoman-FaNum-UltraBoldItalic.woff,eeece756d134331b2224d309039de7c63b4d1d39bcfb8bb4043da7eec8186db2
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-Italic.woff,Organized\01- Woff\Anjoman-Italic.woff,34ac3b19e71ca42dd0f8b819e59957748fd901493e26c478c77694183081a09d
03-Mixed,Anjoman-NoEn,02-Static,03-WOFF,03-Mixed\Anjoman-NoEn\02-Static\03-WOFF\Anjoman-NoEn-Black.woff,Organized\01- Woff\Anjoman-NoEn-Black.woff,c7f1e67653665122de65e15b40c79f8a0254066c48977ee558421db79487702c
